FECHA;Precipitación: l/m2
30/08/2015;6
31/08/2015;15.4
01/09/2015;0.2
02/09/2015;12.2
03/09/2015;0.2
04/09/2015;0
05/09/2015;0
06/09/2015;0
07/09/2015;0
08/09/2015;0
09/09/2015;0
10/09/2015;0
11/09/2015;0
12/09/2015;0
13/09/2015;0
14/09/2015;0
15/09/2015;0.4
16/09/2015;1.2
17/09/2015;6.2
18/09/2015;
19/09/2015;0
20/09/2015;0
21/09/2015;0
22/09/2015;0
23/09/2015;3.6
24/09/2015;0.2
25/09/2015;2
26/09/2015;0
27/09/2015;0
28/09/2015;0
29/09/2015;0
30/09/2015;
01/10/2015;0
02/10/2015;0
03/10/2015;0
04/10/2015;1.4
05/10/2015;
06/10/2015;
07/10/2015;0
08/10/2015;0
09/10/2015;0
10/10/2015;
11/10/2015;0
12/10/2015;15.2
13/10/2015;0.2
14/10/2015;0
15/10/2015;0
16/10/2015;0
17/10/2015;2
18/10/2015;0.4
19/10/2015;16.4
20/10/2015;
21/10/2015;
22/10/2015;
23/10/2015;0
24/10/2015;
25/10/2015;0
26/10/2015;0
27/10/2015;
28/10/2015;0
29/10/2015;
30/10/2015;
31/10/2015;
01/11/2015;
02/11/2015;
03/11/2015;
04/11/2015;0
05/11/2015;
06/11/2015;
07/11/2015;0
08/11/2015;0
09/11/2015;0
10/11/2015;0.2
11/11/2015;0.2
12/11/2015;0.2
13/11/2015;
14/11/2015;
15/11/2015;0
16/11/2015;0
17/11/2015;
18/11/2015;0
19/11/2015;0
20/11/2015;
21/11/2015;13
22/11/2015;4.6
23/11/2015;
24/11/2015;0.6
25/11/2015;0
26/11/2015;1.4
27/11/2015;0.2
28/11/2015;
29/11/2015;0
30/11/2015;
01/12/2015;
02/12/2015;
03/12/2015;
04/12/2015;
05/12/2015;0
06/12/2015;0
07/12/2015;0
08/12/2015;1.4
09/12/2015;0
10/12/2015;
11/12/2015;
12/12/2015;
13/12/2015;
14/12/2015;
15/12/2015;
16/12/2015;0
17/12/2015;
18/12/2015;
19/12/2015;0
20/12/2015;
21/12/2015;
22/12/2015;
23/12/2015;
24/12/2015;
25/12/2015;0
26/12/2015;0
27/12/2015;0
28/12/2015;1.4
29/12/2015;1.6
30/12/2015;
31/12/2015;
01/01/2016;1.4
02/01/2016;
03/01/2016;
04/01/2016;11.2
05/01/2016;
06/01/2016;2.2
07/01/2016;0
08/01/2016;
09/01/2016;
10/01/2016;10.6
11/01/2016;4
12/01/2016;0.2
13/01/2016;0
14/01/2016;
15/01/2016;5
16/01/2016;
17/01/2016;
18/01/2016;
19/01/2016;0
20/01/2016;0
21/01/2016;
22/01/2016;
23/01/2016;0
24/01/2016;0.2
